,Average wind speed (m/s),Average power (kW),Input turbulence intensity (%),Input alpha
1911,10.1613,3609.95,17.07,0.46
5096,5.2337,745.359,44.68,0.18
3925,8.78602,2532.54,26.9,0.06
5726,5.65116,1012.15,33.87,-0.5
5001,12.6729,4497.94,33.67,0.36
4694,24.9212,4986.34,8.56,-0.45
6986,21.297,4965.01,27.47,0.08
5090,6.7243,1319.02,16.67,-0.44
6006,6.9931,1470.21,18.76,-0.38
1425,15.4572,4798.22,43.24,0.37
383,12.0283,4753.01,19.93,0.42
4477,21.116,4986.81,12.04,-0.42
2068,22.015,4979.72,27.72,-0.44
2826,20.6098,4983.05,22.73,0.47
6423,14.779,4747.46,31.86,0.0
1142,13.1561,4793.19,36.34,-0.35
6149,11.1696,4341.0,35.48,-0.28
6745,19.2904,4947.26,27.06,0.18
7734,12.1279,4799.89,16.66,-0.07
5802,3.1821,76.2145,10.92,0.32
742,7.76401,1820.18,25.76,-0.11
1208,3.06552,59.6559,7.09,0.07
7812,22.4816,4921.83,32.41,-0.14
6026,25.0303,4789.31,42.89,0.08
2619,17.8152,4935.76,36.08,-0.32
5651,20.5499,4975.93,26.91,0.0
5878,14.5727,4887.29,30.2,-0.36
5466,9.76484,3212.5,11.51,0.16
7242,10.6128,4039.11,12.38,0.17
2038,20.4066,4986.7,17.12,0.13
5135,24.2301,4980.99,20.8,0.38
4067,6.12692,1011.17,23.28,-0.39
7690,8.19736,2002.87,10.57,-0.08
2159,4.83033,396.137,16.24,0.3
5736,17.9184,4789.36,42.05,0.06
5996,21.1362,4987.01,10.66,-0.1
6576,12.1285,4624.87,32.83,0.22
969,18.924,4981.11,19.62,0.05
5042,22.1237,4984.66,21.45,0.16
4281,15.1671,4889.07,23.86,0.24
3120,15.8005,4692.27,44.18,0.35
2870,12.2851,4275.69,27.47,0.34
6872,6.55993,1067.97,24.23,0.43
2646,9.78508,3258.53,14.03,0.39
3360,14.0589,4972.64,17.56,-0.35
216,20.9589,4986.19,14.69,-0.25
6707,16.4077,4874.95,42.4,0.37
5987,8.09245,1863.38,6.77,-0.04
5396,3.36996,142.857,32.56,-0.23
3931,11.9531,4976.85,8.74,0.45
7366,5.36945,576.733,17.95,0.41
5682,11.9125,4563.15,36.88,-0.4
7348,4.92644,410.989,14.68,0.18
1708,11.1343,4613.22,13.81,-0.16
535,10.3176,3800.01,34.39,-0.31
5358,19.6534,4945.13,31.83,0.31
1080,16.3082,4985.99,16.25,-0.37
5322,8.12911,1887.76,13.34,0.41
2950,13.6696,4942.76,22.82,-0.05
4989,18.8484,4986.32,8.85,-0.47
6161,9.43283,3367.75,32.17,-0.28
2700,6.82969,1517.61,35.87,-0.37
6839,11.1529,4570.27,17.8,0.01
6112,14.751,4873.69,35.3,-0.22
4066,12.9549,4497.48,39.6,0.03
3522,11.3439,3975.22,36.87,-0.23
5793,24.1829,4881.75,40.76,-0.23
1475,6.54324,996.473,14.22,0.31
4117,17.6066,4873.09,41.78,-0.18
6867,4.37898,395.94,39.65,0.34
6206,17.1567,4979.18,26.08,-0.39
6993,23.645,4911.88,39.63,0.29
754,24.7963,4949.38,30.19,-0.16
910,15.0795,4984.57,13.36,-0.42
1211,24.5648,4986.65,6.68,-0.33
4569,6.71187,1270.91,32.14,-0.17
1477,3.12658,121.325,31.75,-0.35
2740,17.6585,4972.2,25.19,-0.26
1316,24.165,4915.03,29.92,-0.48
4508,3.17748,90.5685,24.94,0.07
7815,8.51808,2672.9,13.58,-0.46
7538,24.7182,4888.29,36.11,0.21
4073,11.1223,4606.83,5.75,0.17
1869,24.701,4968.65,24.84,-0.35
7094,19.5625,4976.45,25.96,0.15
7237,5.85664,803.592,25.63,0.31
3920,20.1501,4965.06,32.58,0.47
3761,13.7307,4983.31,7.97,0.39
4208,22.7553,4848.79,44.7,-0.31
7238,22.6512,4956.17,26.82,0.27
5652,16.8549,4985.3,14.56,-0.33
842,9.16332,2950.73,39.89,0.46
7462,10.3325,3689.87,27.25,0.43
410,12.7595,4481.63,39.75,-0.3
5620,4.2719,428.447,40.67,-0.46
3453,8.64912,2369.34,20.84,0.43
7400,13.491,4969.22,16.28,0.12
4736,16.4612,4835.05,42.05,-0.28
4138,5.98255,906.314,38.73,-0.09
5341,5.00985,543.839,11.18,-0.46
7274,20.7832,4978.68,22.86,0.27
5138,19.8136,4965.93,28.65,0.17
4489,13.8243,4833.94,29.82,-0.19
3770,6.26585,1027.41,14.72,-0.39
7420,7.83944,1832.88,33.38,0.42
684,3.32891,114.45,10.39,-0.32
557,20.3877,4931.17,32.78,0.47
6662,24.9371,4819.69,43.23,-0.48
4226,10.9182,4305.22,21.49,0.07
1568,4.72587,415.076,38.23,0.08
1414,23.9231,4979.54,23.6,0.5
6257,6.12589,883.824,18.29,-0.15
1419,4.13857,220.49,10.06,0.16
4351,12.5147,4697.94,37.41,-0.39
4301,7.26312,1467.73,18.91,-0.2
6589,3.60534,175.348,13.5,-0.4
5064,15.1928,4694.14,33.16,0.24
2784,19.3095,4959.81,29.71,0.28
6601,16.0942,4932.89,31.16,0.08
6587,24.0551,4962.84,26.84,0.12
6838,18.9658,4964.65,24.63,0.44
6057,6.18985,815.785,7.0,0.29
2360,14.1153,4984.61,9.76,-0.25
1509,4.13956,296.063,26.19,-0.37
3775,10.177,3887.77,16.76,-0.32
4814,9.98085,3412.57,35.55,0.38
7605,18.4817,4936.51,35.68,-0.19
3719,12.414,4624.34,33.64,-0.41
6585,8.21669,1898.22,5.66,0.41
1160,20.2017,4974.68,22.8,-0.44
1630,3.91441,201.555,5.91,-0.24
6465,5.59514,636.154,15.03,-0.09
71,13.1311,4781.9,22.79,0.25
3099,17.9146,4968.05,21.91,-0.39
1729,8.46402,2492.68,37.73,-0.09
4943,18.7793,4986.23,15.59,0.32
7544,7.96678,2565.85,42.92,-0.38
2508,24.3726,4925.75,34.55,0.4
7922,16.6167,4964.8,23.38,0.29
1885,9.27688,3200.45,41.45,0.5
140,17.7431,4984.17,15.3,0.12
6288,20.1782,4986.6,8.37,0.18
7016,4.62742,474.234,33.56,-0.33
4724,16.2914,4804.75,38.68,-0.06
5127,11.0997,4013.0,38.82,0.03
6720,7.77231,1681.41,19.98,0.19
2998,14.0104,4982.45,11.77,-0.46
4462,24.3556,4867.23,44.28,-0.33
5719,22.6937,4986.52,15.24,0.23
5615,6.9379,1280.81,22.83,0.46
7987,15.881,4897.96,36.81,0.49
11,11.8333,4820.52,19.24,0.12
2037,8.71712,3131.12,37.72,-0.44
6675,6.46401,1039.72,26.88,0.44
1937,23.8809,4983.65,19.15,0.09
51,4.00416,275.361,44.16,0.11
3859,10.7522,4640.77,8.28,-0.31
3313,18.516,4894.07,31.74,0.37
6477,7.22576,1334.95,14.06,0.28
862,15.6172,4974.09,26.12,-0.24
833,12.864,4666.34,37.32,-0.21
7336,22.2426,4985.49,15.98,-0.24
2084,16.284,4879.2,37.99,-0.26
4895,7.96081,1907.06,22.2,0.2
7947,7.67804,1873.1,27.47,-0.32
562,18.8734,4887.19,37.77,-0.32
5440,6.4989,958.042,8.99,0.07
912,10.611,4102.38,30.37,-0.25
1182,7.78068,1992.52,29.35,-0.18
3794,13.189,4967.23,15.76,0.44
4681,14.316,4679.64,28.51,0.32
4751,19.1693,4985.98,11.15,-0.46
6614,21.6847,4909.26,37.53,0.16
3108,21.4142,4930.79,36.32,-0.46
4006,13.5092,4626.72,44.95,-0.09
1604,21.8451,4982.25,22.19,0.0
6631,10.7801,4023.43,26.32,0.17
3135,17.4243,4957.86,22.61,0.23
3885,17.5639,4986.18,7.1,-0.42
5119,9.73799,3394.23,32.71,0.0
4868,17.8437,4754.25,41.28,-0.05
1097,12.862,4576.33,30.35,0.44
2018,6.51879,1187.46,7.79,-0.46
4562,23.1315,4977.91,22.43,-0.37
2471,13.8685,4974.45,15.36,-0.07
6591,25.3813,4888.67,37.45,-0.32
2769,23.6472,4987.03,9.33,-0.08
1187,22.3683,4873.53,40.84,-0.06
7632,22.7232,4986.58,8.44,0.4
1190,21.6869,4976.86,25.7,-0.35
4715,13.0192,4983.76,10.17,-0.47
2303,7.28374,1474.89,17.36,-0.16
165,6.02974,756.802,9.06,0.27
5102,23.68,4979.25,27.66,-0.1
1878,23.9928,4810.27,42.69,0.49
1412,10.6971,4154.85,16.7,0.32
4431,6.66672,1198.16,36.29,-0.01
3184,22.1284,4943.84,34.28,-0.15
6596,5.79315,915.531,42.06,-0.2
2006,18.5397,4984.25,23.56,-0.07
5179,16.5898,4985.21,9.32,-0.3
6837,23.6389,4934.45,35.06,-0.1
6785,7.35891,1561.58,32.34,-0.06
7653,20.4811,4986.79,10.83,-0.43
6583,6.65452,1404.38,43.85,-0.08
7800,23.8862,4936.19,33.01,0.23
1763,21.8502,4969.29,27.7,-0.21
7576,14.5044,4915.58,31.68,-0.44
2326,6.09393,1049.09,25.94,-0.48
2641,7.82757,1810.31,19.21,-0.03
5324,22.3892,4938.77,37.2,-0.08
2515,4.75712,376.026,16.21,0.21
609,14.3066,4803.44,33.53,0.2
7282,4.27728,262.41,15.32,0.07
3929,23.0636,4876.46,42.71,0.24
4154,19.1156,4831.36,41.7,-0.2
6803,19.0838,4970.16,23.56,0.1
1135,12.6065,4980.79,9.24,-0.22
5801,18.1506,4787.42,41.0,0.25
3070,11.2325,4073.27,39.95,-0.15
1679,22.6095,4967.84,33.9,-0.02
2400,8.86145,2662.82,35.23,0.22
6437,12.4805,4420.21,39.53,0.33
5560,23.533,4970.92,27.08,-0.14
4547,16.6819,4772.04,36.59,-0.19
6639,21.9887,4941.53,26.94,0.4
2588,11.8588,4676.99,20.79,0.09
2813,29.9485,3160.95,28.88,-0.48
3614,21.0527,4720.61,44.66,-0.37
3749,24.767,4975.62,27.71,0.31
1319,7.46484,1546.0,14.75,-0.12
3242,21.4826,4983.3,20.3,0.33
192,9.99452,3524.46,23.63,0.03
7756,23.7689,4952.42,27.59,-0.04
3817,17.5601,4985.49,12.03,-0.5
7446,21.2585,4985.94,8.43,0.3
711,13.83,4949.14,16.74,0.27
1021,5.42177,558.61,7.54,-0.1
4892,7.676,1673.77,19.99,0.03
1121,20.2764,4986.04,20.28,-0.03
934,5.39736,570.905,18.33,0.35
2546,17.1994,4799.94,34.34,-0.13
393,5.60362,731.478,13.87,-0.38
161,4.51602,352.184,27.46,0.45
1907,13.9967,4983.0,6.66,-0.43
7593,3.40071,147.162,39.67,-0.02
3705,25.3193,4954.27,23.86,-0.1
6334,8.78413,2924.41,6.34,-0.49
4180,11.7287,4701.75,16.22,-0.17
1829,14.2649,4906.25,39.11,-0.4
4397,15.5879,4897.39,34.21,-0.19
3004,19.1687,4986.54,12.71,-0.2
7587,21.973,4974.12,23.94,0.22
894,7.41702,1461.32,20.18,0.43
4122,17.5747,4981.17,22.55,0.41
5782,23.9633,4870.62,42.72,-0.2
2115,15.9367,4972.44,27.07,-0.02
869,8.82703,2540.33,20.81,0.15
3542,13.6166,4885.42,27.03,-0.31
6670,19.0503,4985.7,10.82,0.41
3960,23.8355,4785.65,41.54,0.49
2035,6.64851,1211.15,34.01,0.16
2849,9.63437,3646.74,17.18,-0.39
527,4.09371,239.248,16.73,0.48
6318,8.80065,2385.83,12.47,0.37
4118,22.1962,4887.5,38.51,-0.45
4857,3.74161,211.095,29.23,-0.21
548,12.3859,4969.4,7.08,0.41
7338,11.8129,4943.7,7.3,0.07
1646,22.5948,4864.36,42.11,0.45
1123,17.0091,4587.84,41.12,0.44
1240,21.5026,4950.2,29.91,0.22
6324,18.6762,4986.99,13.65,-0.18
6172,23.9992,4912.32,31.8,0.11
2264,17.7851,4985.21,13.68,0.21
7843,11.4739,4322.68,18.9,0.22
6581,8.41386,2595.29,23.45,-0.35
5816,17.6875,4832.07,41.21,0.27
1286,17.2937,4957.19,26.13,-0.2
7058,6.98559,1344.5,36.27,0.35
574,15.1385,4731.0,30.15,0.45
5015,7.1756,1359.32,21.8,0.16
1955,19.7012,4986.15,13.9,0.08
1949,9.92556,3398.2,6.48,0.04
5234,6.65382,1142.21,6.77,-0.28
4306,4.08413,217.29,17.95,0.2
1370,23.2618,4985.63,19.24,-0.31
3590,12.7352,4566.73,35.99,-0.16
6185,15.5395,4769.11,37.11,0.33
5101,15.8335,4439.48,44.02,-0.27
6065,4.21582,298.423,22.67,-0.23
5586,8.13201,2284.14,29.65,-0.33
468,18.1769,4847.67,38.83,-0.03
6054,9.01911,3020.29,37.17,-0.26
7654,3.524,163.472,10.27,-0.44
3545,15.3059,4979.89,18.94,-0.43
2723,15.6363,4983.92,12.31,0.43
1769,7.67478,1540.72,5.34,0.22
525,3.1178,79.9697,19.48,0.02
6460,15.9136,4984.93,9.88,0.17
6082,22.8903,4953.11,29.05,-0.41
2766,24.2051,4926.57,32.05,-0.42
1890,9.14301,3019.14,24.51,-0.19
7598,15.0131,4653.57,37.62,-0.18
7795,13.184,4747.99,25.94,-0.14
4961,21.8881,4859.76,43.19,0.06
3338,8.61769,2467.39,36.06,0.45
6921,4.62627,403.172,21.86,-0.39
2583,10.315,3782.28,26.4,0.15
3350,3.05222,60.8998,7.38,0.4
6269,18.8304,4807.9,43.31,-0.25
736,12.8737,4881.86,17.93,0.37
3718,20.7159,4986.61,11.57,0.12
6198,13.5622,4894.29,30.26,-0.34
148,23.0087,4920.9,28.39,0.12
1891,3.94526,244.601,24.9,-0.34
6168,11.7119,4199.74,44.33,-0.47
2213,3.7345,187.827,34.34,0.34
4433,13.1449,4982.78,15.03,-0.42
7223,15.0727,4985.08,14.93,0.32
2557,13.1494,4982.4,7.71,-0.3
2708,5.47145,724.615,41.69,-0.08
587,9.75384,3684.56,20.76,-0.36
5209,17.7593,4970.92,26.95,0.23
6027,12.0586,4554.68,23.09,0.04
2043,5.11402,519.981,15.22,-0.27
6704,21.3541,4975.68,26.09,0.05
5786,13.3067,4765.02,36.59,-0.07
1620,14.4478,4515.55,43.0,-0.01
2452,3.29902,117.556,33.84,0.3
6560,18.8442,4789.88,41.19,0.46
616,21.9235,4987.07,11.41,0.41
7730,15.9976,4984.75,11.13,0.22
4841,20.6844,4975.81,19.18,0.09
5934,4.29302,324.106,38.85,-0.29
2666,17.8302,4929.81,35.87,0.03
7543,20.4163,4986.04,11.38,-0.16
4765,11.4227,4764.53,16.4,-0.28
1118,17.7051,4983.99,19.89,-0.14
986,10.4957,3942.43,15.92,0.1
7537,16.4676,4986.58,16.81,0.18
3971,18.9188,4935.8,26.15,-0.31
6258,20.7242,4946.16,35.39,-0.2
3202,8.30124,2243.24,31.23,0.18
1336,3.02373,81.4861,10.5,-0.39
1136,8.07784,2187.54,42.41,0.21
7776,19.4696,4903.04,42.62,0.22
3558,18.4444,4936.03,31.7,0.39
2424,15.0944,4868.82,38.01,-0.49
6190,6.20648,1079.29,44.04,-0.07
3055,11.8188,4484.92,22.37,0.34
4923,20.5901,4985.8,14.97,-0.32
144,11.6262,4413.89,25.43,-0.1
6738,17.9996,4986.1,5.6,-0.02
3965,8.78957,2665.36,36.54,0.3
6032,11.8317,4982.47,6.75,-0.42
5598,20.5028,4986.4,5.5,-0.49
2796,24.2732,4930.65,32.18,-0.17
4207,20.1541,4986.72,5.69,-0.41
2772,8.3589,2168.11,17.04,-0.1
3047,3.05407,80.3797,36.92,0.05
5988,15.3734,4698.39,41.9,0.29
7723,16.4888,4986.39,20.05,-0.18
343,17.618,4985.43,12.38,0.18
7041,17.7506,4986.26,13.83,-0.3
2468,16.0888,4886.12,33.86,0.24
3832,16.1065,4984.56,7.53,0.09
6911,8.03799,1887.16,11.57,-0.09
6201,4.92038,518.323,38.87,-0.12
5289,16.0104,4985.54,11.07,-0.41
2712,5.95396,1090.93,43.14,0.37
274,16.0803,4830.0,44.0,0.13
24,17.019,4978.06,22.32,0.26
2361,16.7053,4985.15,7.88,-0.46
2528,22.2453,4986.58,11.83,-0.46
5130,8.79317,2561.71,22.03,-0.11
3361,16.137,4782.24,40.38,0.4
6689,14.6792,4665.15,39.0,0.44
6405,14.5984,4816.96,35.47,0.05
5775,19.9459,4966.17,29.19,0.48
5383,15.9943,4983.05,9.64,-0.24
4201,18.8093,4801.27,40.99,0.46
6028,8.17797,2160.55,35.2,0.4
7061,15.3072,4984.19,21.55,-0.49
5617,10.4811,3775.44,34.59,0.22
4839,14.5262,4845.81,30.25,-0.03
5538,19.9977,4986.22,7.46,-0.48
6702,12.5996,4350.2,42.15,0.16
6828,10.664,4762.24,5.92,-0.42
817,20.1359,4924.61,39.76,-0.15
7519,24.3836,4957.15,30.35,-0.42
6075,14.8009,4794.68,39.49,0.12
7196,24.7327,4984.56,12.36,0.31
3423,17.5342,4984.9,24.65,0.42
885,13.6159,4760.77,28.52,0.01
1683,22.1035,4985.48,16.45,0.02
3491,10.7987,4320.88,22.37,-0.29
7990,6.13599,1033.47,44.82,-0.15
6012,10.1196,3522.07,40.91,-0.09
6260,8.69732,2767.19,6.61,-0.44
5,12.9663,4984.05,6.23,-0.25
4421,6.48812,1156.91,36.9,0.03
2672,15.1049,4655.1,38.36,0.27
2823,18.7876,4953.63,30.35,0.05
6869,4.4179,353.59,28.92,0.18
7363,8.36204,2247.49,24.7,-0.11
404,9.79064,3276.48,17.69,0.35
1591,14.2907,4715.97,38.74,-0.01
2924,20.3849,4887.44,43.97,-0.47
4867,5.27518,571.365,11.07,-0.31
5669,9.40601,3225.54,28.68,-0.32
6019,22.2419,4954.6,30.88,-0.08
3277,14.3119,4667.29,30.71,0.47
1091,13.4013,4965.55,19.7,0.11
2351,7.46471,1983.35,43.45,-0.33
7484,19.3669,4984.85,16.89,0.49
7604,4.59583,413.091,40.76,0.39
5537,18.5598,4985.69,8.29,-0.31
3616,23.3691,4927.98,36.73,-0.49
5536,13.6539,4983.32,11.86,-0.31
6344,18.4239,4985.73,25.93,-0.11
4878,15.7455,4767.21,36.83,0.08
7741,18.4624,4945.0,31.16,0.2
6957,24.0795,4986.92,6.96,-0.14
4109,3.95649,202.202,18.59,-0.02
5510,24.6718,4987.29,10.47,-0.1
981,9.09082,2650.31,17.33,0.25
6638,11.9165,4238.92,37.5,-0.16
573,22.9196,4985.5,18.05,-0.46
109,9.74012,3308.22,29.47,0.2
2487,18.517,4823.32,39.2,0.14
3087,17.1526,4823.13,43.32,0.24
3731,14.8103,4876.56,36.58,-0.42
7180,6.77765,1566.96,37.82,-0.36
3954,14.4256,4960.41,21.09,-0.09
108,11.6089,4388.88,38.06,-0.45
4559,21.0917,4986.77,7.24,-0.4
5949,7.3809,1506.76,24.95,0.22
4500,24.031,4979.65,22.62,0.2
6954,18.2121,4850.35,35.9,0.49
4811,22.2357,4904.9,35.51,0.38
48,11.2421,4346.92,24.43,-0.04
3066,22.0255,4846.02,40.47,0.14
3537,13.8851,4626.05,41.2,0.15
7019,4.49502,385.793,19.51,-0.41
1690,24.4163,4931.8,35.68,-0.02
7478,3.62396,143.824,16.28,0.34
1842,21.9302,4976.85,29.44,-0.1
753,21.4732,4964.37,32.69,-0.29
803,13.993,4984.18,8.82,0.25
2911,19.8644,4986.21,15.99,-0.02
6199,5.34331,573.657,19.93,0.13
7222,19.6895,4985.6,13.59,-0.11
922,12.0411,4331.54,36.8,0.02
1146,10.4825,4268.22,6.62,-0.21
7444,23.6092,4986.23,15.54,-0.09
3754,6.12864,870.461,20.43,-0.03
2701,6.8011,1521.57,43.37,-0.1
493,20.0651,4985.85,19.9,-0.24
3674,22.6968,4987.04,13.96,-0.37
1500,8.42183,2382.62,14.19,-0.31
7985,9.70333,3233.84,26.92,0.27
2810,8.75873,2556.76,28.18,0.11
4218,22.0883,4980.13,22.32,-0.35
970,18.3286,4986.72,12.89,0.03
1944,12.2394,4637.47,24.76,0.2
4663,20.9945,4982.71,22.0,-0.46
5017,12.6802,4695.68,31.02,-0.06
268,7.37981,1406.69,12.05,0.36
2180,9.993,3877.55,27.21,-0.41
1685,6.08171,784.891,8.21,0.37
1903,6.40826,940.54,14.17,0.09
6000,6.20759,838.607,11.72,0.14
5492,5.25889,536.887,6.07,-0.22
2458,8.49622,2584.05,31.92,-0.22
1249,17.5637,4977.38,21.47,0.07
2756,7.1531,1520.24,21.5,-0.28
2410,17.5586,4883.04,38.54,0.18
1586,8.34791,2397.81,36.07,-0.14
389,17.5815,4966.82,29.04,0.19
1183,4.72474,367.265,16.17,-0.02
7729,17.9775,4924.74,38.07,0.46
5550,24.5619,4930.55,36.3,0.0
3531,13.3641,4871.11,23.42,0.35
2890,23.9001,4850.23,40.61,-0.39
2854,7.79939,1704.41,15.01,0.22
2262,9.29823,2900.34,41.75,0.38
3278,7.29234,1390.69,11.93,-0.03
4959,7.13319,1420.61,17.23,-0.27
3127,24.9133,4974.72,22.26,0.17
6880,10.3032,3768.23,30.81,0.3
2247,24.3729,4825.54,42.77,-0.14
6250,8.74158,2671.34,37.73,-0.09
6705,25.0101,4871.63,39.04,0.38
1606,22.1635,4986.87,14.29,-0.05
5470,3.58012,125.846,8.15,0.03
215,23.9498,4985.47,19.53,-0.06
4661,9.94667,4161.92,15.45,-0.47
881,22.356,4960.8,34.59,-0.46
634,4.98588,589.728,37.05,-0.26
1107,18.941,4985.5,12.21,0.15
2195,20.5365,4977.54,28.44,0.07
7417,19.8916,4970.56,32.44,-0.44
1494,3.33742,149.128,39.68,0.09
2910,11.1179,4326.0,19.27,0.38
2076,3.15821,99.5641,28.6,0.05
3838,20.0949,4974.44,27.79,-0.44
1,5.9834,794.818,14.51,0.48
431,25.4642,4856.96,43.83,0.02
1129,6.39226,1176.54,27.95,-0.35
635,4.97483,475.198,31.39,0.35
1434,3.80095,274.303,37.86,-0.48
7259,25.0826,4934.37,27.85,0.06
3796,11.4507,4529.71,26.37,0.19
3791,23.5962,4986.91,9.57,-0.29
4754,24.6522,4952.36,29.59,0.26
7337,9.00591,2656.19,19.03,0.09
4498,6.2618,1167.92,29.92,-0.39
1180,11.4866,4976.84,5.67,-0.29
317,6.81259,1115.58,11.7,0.38
6976,19.6919,4986.43,7.24,0.28
2239,17.2369,4985.55,7.53,0.33
2773,15.4699,4974.43,24.29,-0.15
5498,20.6426,4672.36,44.08,0.23
5648,15.9423,4931.91,29.48,-0.32
7409,9.49214,3272.9,31.77,-0.25
2100,3.34952,99.8715,19.61,0.2
5100,21.769,4987.05,16.45,0.23
1096,21.4014,4801.47,41.78,0.21
1612,10.4069,3821.9,16.1,0.23
1716,5.21305,616.208,22.37,-0.37
2891,21.4752,4983.71,23.57,0.24
1112,4.15686,252.149,24.03,0.21
91,21.7214,4985.49,18.72,0.31
333,19.759,4958.91,31.52,-0.32
4693,4.43486,365.422,33.44,0.43
6728,3.69047,174.106,33.26,0.31
247,21.4684,4935.08,33.19,-0.47
4325,21.2326,4986.89,9.41,0.45
3344,7.78778,1834.89,33.76,0.48
6632,6.54838,1196.26,33.35,0.13
6889,17.1454,4952.08,38.35,-0.32
5680,16.8585,4944.58,33.51,-0.47
875,22.7669,4986.59,15.86,0.02
598,20.1362,4946.87,34.95,-0.26
2652,17.3681,4985.42,16.9,-0.47
3913,16.6453,4984.42,24.26,-0.43
1575,21.5288,4845.2,38.1,0.02
3736,12.2114,4919.33,17.58,-0.31
7117,8.89173,2891.01,17.86,-0.33
3291,3.03825,66.1661,15.76,-0.04
77,12.4935,4630.47,42.78,-0.42
2516,10.8621,4362.2,28.89,-0.44
3420,22.2142,4986.88,15.12,0.5
2974,15.116,4985.34,19.61,-0.42
1870,9.56262,3302.5,43.92,-0.12
1711,5.56556,634.257,5.78,-0.18
2307,4.66926,341.634,11.33,0.07
4897,18.86,4986.42,9.61,0.35
4695,6.40613,1035.6,15.65,-0.28
1938,3.95579,260.679,41.59,-0.22
7189,24.8499,4981.4,18.39,0.32
3326,23.8749,4919.34,39.33,-0.19
432,5.62581,714.33,32.28,0.01
3597,20.0138,4974.95,27.54,0.25
6762,3.04561,86.3291,10.92,-0.4
3394,13.6077,4982.16,5.17,0.33
7861,16.3591,4977.44,25.41,-0.21
3798,6.35065,906.453,12.13,0.22
7299,4.97749,470.781,22.7,0.04
57,8.48051,2526.03,42.46,0.26
998,23.8264,4886.44,41.85,-0.24
1823,22.4587,4986.54,11.77,0.47
4204,21.7371,4853.34,42.53,-0.27
3551,22.1408,4986.97,5.31,-0.33
3546,21.9721,4969.82,27.89,0.15
1731,8.77813,2587.99,11.23,-0.23
2130,5.65423,810.181,30.96,-0.29
6385,15.6309,4950.06,27.6,0.26
5803,17.829,4986.27,8.2,0.33
6125,19.5432,4956.92,29.98,-0.23
4982,14.2495,4971.55,16.0,-0.15
1117,17.7214,4937.46,33.77,-0.3
7394,10.8592,4214.16,12.76,0.12
1963,15.0564,4964.65,22.97,-0.16
3560,14.9437,4980.82,18.51,0.0
5699,9.81664,3458.0,11.38,-0.14
4274,10.0753,3817.66,32.46,-0.24
2940,7.20846,1599.67,30.37,-0.09
6018,15.4712,4983.83,15.73,-0.38
2070,21.0365,4929.37,36.13,-0.32
6747,8.85927,2840.92,14.9,-0.33
5453,21.755,4974.97,28.23,-0.2
7837,10.1046,3602.72,35.07,0.04
6825,9.68591,3703.65,13.28,-0.38
5961,5.62788,635.129,13.64,0.26
2595,19.5673,4957.32,30.45,0.12
1087,4.91342,494.732,35.3,-0.06
4957,6.584,1139.84,38.97,0.18
3074,15.0536,4830.64,38.15,-0.2
2767,18.8681,4864.21,37.88,0.46
6538,22.7824,4889.94,37.3,0.3
783,10.4933,3871.25,43.4,-0.29
658,18.114,4892.66,35.78,0.42
899,10.0883,3488.2,42.53,0.21
319,12.4454,4977.14,9.57,0.48
3428,3.98944,190.203,6.88,0.22
3923,7.1471,1510.54,30.17,-0.03
3998,18.1342,4877.12,34.16,0.22
4294,14.7586,4872.95,29.56,0.45
4159,20.2734,4884.3,37.1,0.42
7737,14.3483,4980.57,21.81,-0.28
2788,5.11447,486.502,8.34,-0.2
3735,18.3411,4973.65,36.48,0.46
2728,22.2528,4986.12,15.68,-0.41
647,6.11666,884.262,23.79,0.38
3941,4.96836,415.775,11.99,0.05
1787,24.7626,4978.99,21.08,-0.02
6513,13.0636,4449.16,38.12,0.06
7789,14.6359,4932.87,23.61,-0.06
372,6.31475,1071.66,28.83,-0.15
6052,4.80006,419.144,22.97,0.29
2064,12.1951,4742.72,23.87,-0.25
651,19.9172,4987.01,6.88,-0.2
1778,23.7833,4915.42,36.11,-0.27
4083,13.359,4563.08,35.36,0.17
346,14.185,4917.17,20.95,-0.21
961,22.3003,4937.05,31.49,-0.36
6885,23.7267,4977.11,23.9,0.02
4249,24.5915,4984.11,17.35,-0.25
2086,4.74503,374.813,7.46,-0.15
6316,9.28629,2947.67,29.13,0.09
311,24.968,4727.7,44.69,0.26
4907,5.09983,586.099,30.16,-0.28
1395,8.9337,2742.4,32.32,0.13
5853,24.6909,4987.09,8.92,-0.01
3666,9.92442,3425.59,41.64,0.04
4964,14.9296,4897.47,34.27,-0.43
4869,15.2674,4960.3,18.84,0.42
2255,21.6235,4986.57,18.18,0.17
7945,7.26726,1715.53,43.99,-0.18
7375,7.51057,1603.25,22.73,-0.08
1263,3.95818,234.367,34.67,0.43
4040,18.6018,4985.28,24.1,-0.28
2069,12.2953,4811.38,21.58,-0.09
1672,23.974,4950.35,28.93,-0.25
5691,22.2802,4777.12,43.27,-0.29
1085,9.56834,3668.13,20.19,-0.36
5225,4.5185,379.527,14.41,-0.39
2448,24.7821,4986.55,18.03,-0.08
4210,5.74543,817.585,39.93,0.49
399,11.6197,4682.92,19.31,0.44
3230,13.5328,4372.1,41.55,0.27
5790,18.4548,4940.54,30.62,0.44
4831,15.0515,4801.98,31.2,0.34
1582,22.8846,4877.89,37.06,0.02
2107,6.08433,856.397,17.64,-0.13
1081,17.1577,4861.38,44.93,-0.2
7107,9.22655,3036.08,13.89,-0.2
