,Average wind speed (m/s),Average power (kW),Input turbulence intensity (%),Input alpha
3516,18.9725,4986.03,6.32,0.4
4610,14.0555,4257.16,43.61,0.49
4505,17.1821,4892.16,26.38,-0.05
3152,23.81,4963.96,27.69,-0.03
5296,13.134,4434.95,33.79,0.28
3268,20.3782,4985.68,23.07,-0.49
5303,21.4977,4781.42,42.84,-0.32
6894,23.5137,4982.44,15.27,0.36
504,20.8424,4816.73,37.94,0.46
7025,15.0197,4696.05,38.38,0.46
5457,13.5768,4980.51,15.92,0.21
5834,12.8107,4972.07,18.5,-0.28
160,5.37272,546.008,12.86,0.36
4836,4.34373,271.16,16.24,0.08
4348,16.0584,4985.8,18.14,0.14
6552,12.2795,4553.81,30.99,0.46
2790,10.8716,4253.78,16.62,0.23
4967,24.192,4973.88,26.78,0.49
7697,9.75809,3284.67,18.41,0.08
554,15.1964,4982.78,14.05,0.38
1654,4.28013,347.155,42.33,0.06
4643,14.7864,4957.42,16.56,0.04
4013,4.11492,254.461,21.5,-0.16
6298,24.1286,4769.18,44.69,0.27
3648,13.3802,4595.81,37.6,0.29
5941,22.6765,4974.34,24.19,-0.44
5450,22.2886,4956.26,29.84,-0.43
4535,3.54209,135.195,14.82,-0.1
3091,18.3505,4746.0,43.33,-0.31
1939,12.7187,4746.4,22.09,0.06
2244,11.0145,4068.57,41.59,-0.31
1255,6.57609,1491.18,40.3,-0.41
2391,11.776,4914.3,12.43,-0.17
2863,16.8925,4883.52,42.99,0.44
7961,11.0348,3917.18,44.5,-0.03
2660,18.7715,4986.49,11.38,-0.21
5825,20.6006,4986.56,7.77,0.13
6801,20.5725,4986.05,16.94,-0.04
4202,18.967,4936.12,31.53,0.46
3180,9.79958,3320.85,21.12,0.09
2785,3.17725,112.312,37.46,-0.2
2337,15.3012,4983.81,9.65,-0.31
2779,4.51665,481.407,36.89,-0.41
2759,5.79812,997.613,39.04,-0.36
175,13.0287,4813.22,19.66,-0.04
5646,22.1408,4917.05,36.46,-0.2
287,3.41896,114.746,5.12,-0.22
945,5.35498,567.246,6.08,-0.2
2560,20.0182,4986.56,5.39,0.06
6810,14.3475,4786.64,33.33,-0.46
3839,19.2289,4986.45,11.22,0.13
703,10.2731,3623.86,31.0,0.1
5312,8.28652,2227.72,28.34,0.22
4717,9.32627,3063.34,28.2,-0.13
2698,9.1628,2768.31,19.07,0.23
4334,15.1557,4752.59,43.27,0.19
4304,25.1509,4827.96,39.25,0.31
4887,19.1152,4926.24,35.18,-0.18
995,6.32311,1188.11,44.62,-0.32
7068,9.39271,2980.07,37.43,0.45
1299,7.71718,1673.68,21.33,0.27
6155,17.0192,4971.16,24.89,0.25
5071,16.3428,4985.12,15.06,-0.13
927,23.1116,4961.65,33.9,-0.09
1631,15.2634,4971.85,23.41,0.1
595,9.99917,3859.05,17.92,-0.28
6676,20.3818,4984.83,13.98,0.32
4425,4.47445,394.377,43.66,0.45
5644,9.85465,3636.17,43.19,-0.37
1334,22.2872,4948.46,30.51,-0.41
7774,23.6785,4986.78,13.58,0.4
4910,19.0506,4974.23,34.57,-0.5
6083,19.7021,4916.61,36.48,0.1
2062,14.4997,4893.79,34.19,-0.09
5472,19.6895,4628.8,43.69,0.26
